TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
18-03-2025,24.4,31.6,28.1,80,23.1,2.2,4,300,1,C
19-03-2025,24.2,33.4,28.5,78,1.3,1.4,4,290,2,W
20-03-2025,25,33.4,28.4,79,6,1.8,4,260,2,W
21-03-2025,26.4,33,29.4,72,1.4,4,5,330,2,NW
22-03-2025,25,32.6,28.5,83,0,6.9,4,280,1,C
23-03-2025,26.4,32,28.7,82,20.3,1.7,5,300,2,C
24-03-2025,26.8,31.6,28.6,81,1.2,4.2,3,270,1,C
25-03-2025,25,30.6,28.8,81,0,2,4,280,1,C
26-03-2025,27,31.2,28.6,85,1,1.4,3,310,1,C
27-03-2025,26.8,32.6,28.2,84,0,0,3,250,1,C
28-03-2025,25,30.8,28.2,82,5.4,3,4,210,2,W
29-03-2025,25.6,33,28.8,74,0.3,1.5,6,240,3,SW
30-03-2025,25.6,34.6,30.2,74,8888,4.2,5,260,2,C
31-03-2025,25,33.8,29.3,74,0,6,4,290,1,C
1/4/2025,26.4,28.6,26.9,86,1,5.5,4,280,1,C
2/4/2025,26,33.2,28.3,80,5.8,0.5,4,280,1,C
3/4/2025,25,32,28.5,81,8.2,2,4,310,1,C
4/4/2025,25.8,32,28.4,82,5.9,5,4,300,1,C
5/4/2025,26,32.4,28.8,80,8888,5,3,280,1,C
6/4/2025,25,32.4,27.8,83,0,3.8,6,320,1,C
7/4/2025,25.2,32.4,28.5,80,43,5.4,4,300,1,C
8/4/2025,25.6,33.2,29,76,0,6.6,5,290,1,C
9/4/2025,25,32.6,29.5,75,0,8,4,30,1,C
10/4/2025,27.4,32.6,29.3,79,0,4.5,4,270,1,C
11/4/2025,26.4,33.6,28.9,78,0,5.4,4,300,1,C
12/4/2025,25,31,28.7,79,0,5.4,6,280,1,C
13-04-2025,26,31.6,27.9,84,11.1,2.4,4,320,2,C
14-04-2025,25,34.6,29.7,74,8.9,1,3,250,1,C
15-04-2025,25,31.8,29,76,0,6.8,3,271,1,C
16-04-2025,25.8,32.4,28.4,82,2.5,0,5,290,1,C
17-04-2025,25.4,30,27.3,86,25.5,5.7,3,300,0,C
18-04-2025,25,33.4,28.8,83,0,0,6,220,1,C
19-04-2025,26.6,33.6,29.3,78,2.8,1.6,5,300,1,C
20-04-2025,25.4,34.6,29.2,75,2.1,4,3,310,1,C
21-04-2025,25,32.6,28.9,76,0,1.8,5,250,1,C
22-04-2025,26.4,32.4,28.2,78,7.5,0,3,300,0,C
23-04-2025,26,34.6,29.1,74,9.5,0.6,7,290,2,C
24-04-2025,24.2,33.8,29.7,72,0,0.8,6,310,2,C
25-04-2025,27,32.4,29.3,76,0,6.7,4,310,1,C
26-04-2025,27,33.4,29.4,78,8888,3,2,320,1,C
27-04-2025,24,32.4,28.5,81,25,1,4,310,1,C
28-04-2025,26.2,32.4,29.2,75,0,7,4,300,1,C
29-04-2025,27.2,33.6,29.7,73,0,6.2,4,330,1,C
30-04-2025,24.8,33.8,29.8,71,0,6.2,3,220,1,C
1/5/2025,27,32.6,29.4,75,0,5.3,5,300,1,C
2/5/2025,27,33.6,30,76,8888,6.7,4,290,1,C
3/5/2025,25,33.2,28.4,82,3,5.3,3,300,1,C
4/5/2025,26.2,33,28.7,79,42.2,6.5,4,50,1,C
5/5/2025,26.4,34.8,30.2,74,0,2.3,3,350,1,C
6/5/2025,25,34,29.3,76,0,7,3,110,1,C
7/5/2025,26.4,33.2,28.8,80,3,6.7,4,310,1,C
8/5/2025,26.8,33.6,29.4,80,3.7,6.6,5,280,2,C
